trial,val_mae,val_mse,val_high_mae,val_high_mse,combined_score,status,param_asymmetric_alpha,param_high_value_threshold,param_high_activity_ratio,param_weight_power
16,0.0723153528358255,0.008629558097925923,0.08240236052855228,0.010931207439474141,0.07937625822073424,success,6.0,0.3,0.6,2.5
60,0.07309852221182414,0.008806035654353244,0.0960012551707526,0.013279673359647859,0.08913043528307404,success,14.0,0.25,0.5,3.5
7,0.08414405548856371,0.01153100605699278,0.09317706723231822,0.01230662694433704,0.09046716370919188,success,6.0,0.25,0.6,2.5
34,0.076091135541598,0.009174414644283908,0.10220336991672714,0.014891205873330668,0.0943696996041884,success,10.0,0.25,0.6,2.5
31,0.08391296366850536,0.011271545619127295,0.10708902776241302,0.019008879848115612,0.10013620853424071,success,10.0,0.25,0.5,2.5
18,0.09521482494615373,0.014701342520614466,0.10884103233305116,0.018584892924991436,0.10475317011698193,success,6.0,0.3,0.6,3.5
9,0.09263865365868523,0.014352111899781795,0.11406704719411209,0.02211511871428229,0.10763852913348403,success,6.0,0.25,0.6,3.5
54,0.09059703066235497,0.013128790383537611,0.11644587493113552,0.022012975708397182,0.10869122165050135,success,10.0,0.35,0.6,3.5
6,0.10564365734656651,0.01917422655969858,0.11439804484446843,0.02059400781945442,0.11177172859509785,success,6.0,0.25,0.5,3.5
35,0.08043106574387777,0.010483314593633017,0.12563925131689757,0.022063077165512368,0.11207679564499162,success,10.0,0.25,0.6,3.0
36,0.09308584921416782,0.013880235231703236,0.12487335683545098,0.023173852442899563,0.11533710454906602,success,10.0,0.25,0.6,3.5
61,0.09899213377918516,0.01610159496998503,0.12972153862938285,0.02545789835130563,0.12050271717432354,success,14.0,0.25,0.6,2.5
45,0.1100285645751726,0.019464577149067606,0.15537060626472035,0.0391221312796309,0.141767993757856,success,10.0,0.3,0.6,3.5
63,0.1275339452993302,0.02582848488929726,0.16083874394826125,0.03827823271831221,0.15084730435358193,success,14.0,0.25,0.6,3.5
43,0.1184552347376233,0.022439429802553996,0.16578236299877366,0.04010804203183701,0.15158422452042855,success,10.0,0.3,0.6,2.5
62,0.10718874562354315,0.01861759993646826,0.17563798177676895,0.04662890917582748,0.1551032109308012,success,14.0,0.25,0.6,3.0
44,0.12405934291226524,0.024176567881589846,0.17106195302524915,0.04135220743773971,0.15696116999135395,success,10.0,0.3,0.6,3.0
